chain_name,cluster,city,am_name,am_email,is_key_vip,first_detection_date,last_detection_date,appearances,consecutive_days,recurrence_severity,current_risk_score,risk_score_change,improvement_status,current_rank,rank_movement,historical_highest_rank,last_failed_orders,last_lost_gmv,last_fail_rate,top_failure_reason,recommended_action,email_required,email_sent,email_sent_date,communication_status,response_received,response_classification,vendor_action_required,vendor_action_completed,action_verification_status,is_active,last_seen_date
"talabat mart, Miami - Arab Academy",alex,Alexandria,,,no,2026-06-24,2026-06-24,3,1,Medium,41,0,Stable,2,stable,2,310,152810,18.099999999999998,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-06-24
"talabat mart, Ibrahimia",alex,Alexandria,,,no,2026-06-24,2026-06-24,3,1,Medium,41,0,Stable,1,stable,1,298,157420,17.8,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-06-24
"talabat mart, Semouha",alex,Alexandria,,,no,2026-06-24,2026-06-24,3,1,Medium,41,0,Stable,4,stable,4,284,154210,27.400000000000002,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-06-24
"Tmart, Fleming - Koliyat Tarbya 2",alex,Alexandria,,,no,2026-06-24,2026-06-24,3,1,Medium,41,0,Stable,3,stable,3,249,93260,28.999999999999996,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-06-24
"talabat mart, El Magzar",delta,Mansoura,,,no,2026-06-24,2026-06-24,3,1,Medium,27,0,Stable,3,stable,3,229,98010,14.000000000000002,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-06-24
"talabat mart, El Helw Street",delta,Tanta,,,no,2026-06-24,2026-06-24,3,1,Medium,27,0,Stable,1,stable,1,213,102210,16.900000000000002,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-06-24
"talabat mart, Hay Thany Zagazig",delta,Zagazig,,,no,2026-06-24,2026-06-24,3,1,Medium,27,0,Stable,2,stable,2,164,58440,26.1,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-06-24
"Tmart, El Mokhtalat",delta,Mansoura,,,no,2026-06-24,2026-06-24,3,1,Medium,27,0,Stable,4,stable,4,159,59470,34.2,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-06-24
talabat mart - Downtown - Champollion,canal,Ismailia,,,no,2026-06-24,2026-06-24,3,1,Medium,21,0,Stable,1,stable,1,157,52280,10.299999999999999,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-06-24
"talabat mart, Al Sharq District",canal,Port Said,,,no,2026-06-24,2026-06-24,3,1,Medium,21,0,Stable,2,stable,2,148,60660,5.3,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-06-24
