chain_name,cluster,city,am_name,am_email,is_key_vip,first_detection_date,last_detection_date,appearances,consecutive_days,recurrence_severity,current_risk_score,risk_score_change,improvement_status,current_rank,rank_movement,historical_highest_rank,last_failed_orders,last_lost_gmv,last_fail_rate,top_failure_reason,recommended_action,email_required,email_sent,email_sent_date,communication_status,response_received,response_classification,vendor_action_required,vendor_action_completed,action_verification_status,is_active,last_seen_date
Istanbul,delta,,,,no,2026-07-20,2026-07-20,1,1,Low,83,0,New,1,stable,1,0,0,0,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",no,no,,none,no,,no,no,,yes,2026-07-20
El Fateh Street,delta,,,,no,2026-07-20,2026-07-20,1,1,Low,83,0,New,2,stable,2,0,0,0,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",no,no,,none,no,,no,no,,yes,2026-07-20
Abu El Mashwy,canal,,,,no,2026-07-20,2026-07-20,1,1,Low,84,0,New,1,stable,1,0,0,0,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",no,no,,none,no,,no,no,,yes,2026-07-20
Al Manakh District,canal,,,,no,2026-07-20,2026-07-20,1,1,Low,84,0,New,2,stable,2,0,0,0,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",no,no,,none,no,,no,no,,yes,2026-07-20
Koshary Askandrany,upper_egypt,,,,no,2026-07-20,2026-07-20,1,1,Low,84,0,New,1,stable,1,0,0,0,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",no,no,,none,no,,no,no,,yes,2026-07-20
El Nasr,upper_egypt,,,,no,2026-07-20,2026-07-20,1,1,Low,84,0,New,2,stable,2,0,0,0,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",no,no,,none,no,,no,no,,yes,2026-07-20
Zack's,cairo_east_1,,,,no,2026-07-20,2026-07-20,1,1,Low,82,0,New,1,stable,1,0,0,0,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",no,no,,none,no,,no,no,,yes,2026-07-20
Haram - El Ahram,cairo_east_1,,,,no,2026-07-20,2026-07-20,1,1,Low,82,0,New,2,stable,2,0,0,0,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",no,no,,none,no,,no,no,,yes,2026-07-20
Vinny's Pizza - Zamalek,cairo_central,,,,no,2026-07-20,2026-07-20,1,1,Low,82,0,New,1,stable,1,0,0,0,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",no,no,,none,no,,no,no,,yes,2026-07-20
Just smash,cairo_east_2,,,,no,2026-07-20,2026-07-20,1,1,Low,80,0,New,1,stable,1,0,0,0,,"1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",no,no,,none,no,,no,no,,yes,2026-07-20
