chain_name,cluster,city,am_name,am_email,is_key_vip,first_detection_date,last_detection_date,appearances,consecutive_days,recurrence_severity,current_risk_score,risk_score_change,improvement_status,current_rank,rank_movement,historical_highest_rank,last_failed_orders,last_lost_gmv,last_fail_rate,top_failure_reason,recommended_action,email_required,email_sent,email_sent_date,communication_status,response_received,response_classification,vendor_action_required,vendor_action_completed,action_verification_status,is_active,last_seen_date
"AlSeoudi, Ahmed Maher",delta,Mansoura,,,no,2026-06-24,2026-07-13,12,2,Critical,30,0,Stable,3,stable,3,51,966698,0.25,CST - doesn't response,"🚨 CRITICAL recurring offender — 1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-07-13
"Bremer, Gihan Al Sadat",delta,Mansoura,,,no,2026-06-24,2026-07-13,12,2,Critical,30,0,Stable,4,stable,4,46,842021,18.22,Late Delivery,"🚨 CRITICAL recurring offender — 1. Review kitchen preparation time vs. promised delivery SLA
2. Audit rider assignment and handover delays at peak hours
3. Validate dispatch timing relative to prep completion
4. Conduct peak-period operational audit with AM on-site visit",yes,no,,none,no,,no,no,,yes,2026-07-13
"Awlad Hanafi Market, Al Salam 1",canal,Suez,,,no,2026-06-24,2026-07-13,12,2,Critical,0,0,New,2,stable,1,43,116319,70.55,CST - Fake order,"🚨 CRITICAL recurring offender — 1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-07-13
"B.LABAN, Sheraton",canal,Hurghada,,,no,2026-06-24,2026-07-13,12,2,Critical,0,0,New,3,stable,3,37,146030,51.68000000000001,CANCELED_BY_CUSTOMER_BEFORE_VENDOR_ACCEPTED,"🚨 CRITICAL recurring offender — 1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-07-13
"Sharqy, El Gomhuria Street",delta,Mansoura,,,no,2026-06-24,2026-07-13,12,2,Critical,30,0,Stable,10,stable,7,26,302836,15.36,CST - Fake order,"🚨 CRITICAL recurring offender — 1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-07-13
"B.LABAN, Suez University",canal,Suez,,,no,2026-06-24,2026-07-13,12,2,Critical,0,0,New,8,stable,5,22,147929,28.110000000000003,CANCELED_BY_CUSTOMER_BEFORE_VENDOR_ACCEPTED,"🚨 CRITICAL recurring offender — 1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-07-13
"B.laban, 2nd District",upper_egypt,Damietta New,,,no,2026-06-24,2026-07-13,12,2,Critical,0,0,New,4,stable,3,22,66706,50.839999999999996,,"🚨 CRITICAL recurring offender — 1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-07-13
"Elmatboly, Central Park",upper_egypt,Damietta New,,,no,2026-06-24,2026-07-13,12,2,Critical,0,0,New,7,stable,4,10,72622,23.09,CANCELED_BY_CUSTOMER_BEFORE_VENDOR_ACCEPTED,"🚨 CRITICAL recurring offender — 1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-07-13
"Ibn Elseady Market, 2nd District",upper_egypt,Damietta New,,,no,2026-06-24,2026-07-13,12,2,Critical,0,0,New,6,stable,3,9,101710,17.990000000000002,,"🚨 CRITICAL recurring offender — 1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-07-13
"B.LABAN, El Gomhorya St.-assuit",upper_egypt,Assiut,,,no,2026-06-24,2026-07-13,12,2,Critical,0,0,New,8,stable,6,7,62724,19.57,,"🚨 CRITICAL recurring offender — 1. Conduct comprehensive operational review with the vendor
2. Identify root cause through AM field visit
3. Review all fail reason categories for this vendor in Looker
4. Assess peak-hour staffing and operational capacity",yes,no,,none,no,,no,no,,yes,2026-07-13
